word,meaning,phonetic,example,example_cn
apologize,道歉， 谢罪， 认错；道歉，谢罪，认错,,I apologize for arriving late to the meeting.,我为开会迟到道歉。
apology,道歉， 认错， 谢罪；道歉，认错，谢罪,,Please accept my sincere apology for the mistake.,请接受我为这个错误表达的真诚歉意。
apparatus,器械，仪器；器官,,The laboratory has modern scientific apparatus.,这个实验室拥有现代科学仪器。
apparent,表面上的， 明显的；表面上的；明显的,,It was apparent that she was very tired.,很明显，她非常累了。
appeal,上诉；吸引，呼吁；呼吁，恳求；申诉，上诉；呼吁；申述；感染力， 吸引力； 呼吁， 上诉,,The idea of a vacation appeals to everyone.,度假的主意对每个人都有吸引力。
appealing,吸引人的,,The smell of fresh bread is very appealing.,新鲜面包的香味非常诱人。
appear,出现；来到；似乎,,The sun appeared from behind the clouds.,太阳从云层后面出现了。
appearance,出现， 来到； 外观；出现，来到；外观；外表, 出现,His sudden appearance surprised everyone.,他的突然出现让所有人惊讶。,
appetite,欲望, 胃口；食欲， 胃口； 欲望；食欲，胃口；欲望,I have a big appetite after swimming.,游泳之后我的胃口很好。,
applause,鼓掌， 掌声,,The audience gave the performers a round of applause.,观众给表演者们一阵掌声。
apple,苹果，苹果树,,An apple a day keeps the doctor away.,一天一苹果，医生远离我。
appliance,用具， 器具， 器械； 家电；用具，器具，器械,,A refrigerator is an essential kitchen appliance.,冰箱是必不可少的厨房电器。
applicable,能应用的； 合适的， 适当的；能应用的；适当的,,This rule is applicable to all students.,这条规则适用于所有学生。
applicant,申请人,,There were over fifty applicants for the job.,有五十多名求职者申请这份工作。
application,申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性；申请，应用；请求，申请；施用,,I submitted my application for the scholarship.,我提交了奖学金申请。
apply,应用, 申请；应用，实施，使用；应用，实施；使用；涂敷；把…施于；适用； 申请， 请求； 涂， 敷， 施,You should apply for that job if you are interested.,如果你感兴趣，应该申请那份工作。,
appoint,任命， 委任； 约定， 指定；任命，委任；约定；任命，委派；约定，确定，指定,,The school appointed a new principal last week.,学校上周任命了一位新校长。
appointment,任命； 约定； 约会； 委任的职位；任命；约定，约会；约会,,I have a doctor's appointment at three o'clock.,我三点钟有个医生预约。
appreciate,感激，欣赏；欣赏；领会；感谢；重视， 赏识； 领会， 体会； 感谢； 增值,,I really appreciate your help with this project.,我非常感谢你在这个项目上的帮助。
appreciation,评价，感激,,She showed her appreciation with a warm thank-you note.,她用一封温暖的感谢信表达了感激之情。
approach,向…靠近；接近，方法；靠近,,We need a new approach to solve this problem.,我们需要一种新的方法来解决这个问题。
appropriate,适当的， 恰当的；适当的，恰当的,,Please wear appropriate clothes for the formal dinner.,请穿适合正式晚宴的衣服。
approval,批准，认可，赞成；赞成， 同意， 批准；赞成，同意；批准,,The proposal received the manager's approval.,这个方案得到了经理的批准。
approve,赞成， 称许； 批准；赞成，同意；赞成，称许；批准,,My parents approve of my choice of career.,我父母赞成我的职业选择。
approximate,近似；近似的；近似； 估计,,The approximate cost of the repair is two hundred dollars.,维修的大致费用是两百美元。
approximately,大约；近似地，大约,,The journey takes approximately three hours by car.,开车大约需要三个小时的路程。
arbitrary,随心所欲的， 专断的；随心所欲的；专断的,,The decision seemed arbitrary and unfair to the team.,这个决定对团队来说似乎很武断且不公平。
architect,建筑师；建筑师， 设计师； 缔造者,,The architect designed a beautiful new library for the city.,这位建筑师为城市设计了一座美丽的新图书馆。
architecture,建筑学； 建筑式样， 建筑风格；建筑学；建筑式样,,I am studying architecture at university because I love buildings.,我正在大学学习建筑学，因为我热爱建筑。
archive,档案文件,,The old letters were kept in the library archive.,那些旧信件保存在图书馆的档案里。
area,面积；地区；领域,,This area of the city is known for its great restaurants.,这个城市区域以其出色的餐厅而闻名。
argue,争论，争辩，辩论；争论，争辩，辩论；主张；说服；争辩， 争论,,They often argue about which movie to watch.,他们经常为看哪部电影而争论。
argument,争论， 辩论； 理由； 说理， 论证；争论，辩论；理由,,We had a long argument about politics last night.,昨晚我们关于政治进行了一场长时间的争论。
arise,出现； 由…引起； 起身， 起床；出现；由…引起,,A problem may arise if we don't plan ahead.,如果我们不提前计划，可能会出现问题。
arithmetic,算术， 四则运算；算术，四则运算,,Children learn basic arithmetic like addition and subtraction in first grade.,孩子们在一年级学习加法和减法等基础算术。
arm,臂；臂状物；武器,,She broke her arm when she fell off her bike.,她从自行车上摔下来时摔断了胳膊。
army,军队；陆军,,He joined the army after finishing high school.,他高中毕业后加入了军队。
around,在…周围,,We walked around the park after dinner.,晚饭后我们在公园周围散步。
arouse,引起，唤起；唤醒；引起； 唤起， 唤醒,,The strange noise aroused everyone's curiosity.,那奇怪的声音引起了每个人的好奇。
arrange,安排， 准备， 整理；把…（系统地）分类；筹备；整理；调解,,I need to arrange a meeting with my boss for next week.,我需要安排下周和老板开会。
arrangement,整理， 排列， 安排； 准备工作；整理，排列；安排,,We made an arrangement to meet at the coffee shop at 3 PM.,我们约好了下午三点在咖啡店见面。
arrest,逮捕；逮捕， 拘留， 扣留；逮捕，拘留；停止，阻止；吸引；逮捕，拘留；阻止,,The police arrested the thief near the supermarket.,警察在超市附近逮捕了那个小偷。
arrival,到达， 到来； 到达者， 到达物；到达；到来；到达者,,We waited for the arrival of the train at the station.,我们在火车站等待火车的到达。
arrive,到达；来临；达到,,We will arrive at the airport at 8 o'clock tomorrow morning.,我们将在明早八点到达机场。
arrow,箭， 箭状物； 箭头符号；箭；箭状物,,He shot an arrow straight at the target.,他瞄准目标直接射了一箭。
art,艺术，美术；技术,,She has always had a great interest in modern art.,她一直对现代艺术有着浓厚的兴趣。
article,文章；条款；物品,,I read an interesting article about climate change in the newspaper.,我在报纸上读到一篇关于气候变化的有趣文章。
artificial,人工的， 人为的； 矫揉造作的； 模拟的；人工的；娇揉造作的,,"The flowers on the table are artificial, but they look real.",桌上的花是人工的，但看起来很逼真。
artist,艺术家，美术家,,The artist painted a beautiful picture of the sunset.,那位艺术家画了一幅美丽的日落画。
artistic,艺术的， 艺术家的； 富有艺术性的， 精美的； 精彩的；艺术的；艺术家的,,She has great artistic talent and draws beautifully.,她很有艺术天赋，画得非常好。
as,当…的时候,,"As I was leaving the house, it started to rain.",正当我离开房子的时候，开始下雨了。
ash,灰， 灰末； 骨灰；灰，灰末；骨灰,,There was a pile of ash in the fireplace after the fire burned out.,火烧完后，壁炉里有一堆灰烬。
ashamed,害羞的；惭愧(的)；羞耻(的)；惭愧的， 羞耻的， 害臊的,,He felt ashamed for telling a lie to his mother.,他因为对妈妈撒谎而感到羞愧。
aside,在旁边， 到旁边；在旁边，到旁边,,She pulled me aside to tell me a secret.,她把我拉到旁边，告诉我一个秘密。
